ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
852,-46.756407,-23.618445,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM UMARIZAL,6077-1,AV ANACE,121.000000,JD UMARIZAL,TV AV DAS COLINAS
331,-46.646151,-23.698356,355030858000238,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,REFUGIO SANTA TEREZINHA,6078-0,RUA DOS ANIQUIS E DOS CARATAIS,S/N,PEDREIRA,TV ES ALVARENGA
643,-46.710717,-23.671665,355030879000011,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,SOCORRO,6079-8,RUA DOS INOCENTES C/ MENDEL,277.000000,SOCORRO,AV.ROBERTO KENNEDY
732,-46.682117,-23.679451,355030816000006,3550308005170,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,VILA ARRIETE,6080-1,RUA ORLANDO PINTO RIBEIRO,,VL ARRIETE,SUPER MERCADO BARATEIRO
608,-46.756538,-23.677578,355030843000209,3550308005226,42,JARDIM ANGELA,18,M BOI MIRIM,Sul,Sul 2,VILA REMO,6081-0,RUA ITAPAROQUERA,,VL REMO,TV ES M BOI MIRIM
238,-46.768963,-23.588177,355030865000105,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,VILA BORGES,6082-8,RUA ORESTES COLOMBARI,464.000000,VL BORGES,AV HEITOR A EIRAS GARCIA 3860
192,-46.675545,-23.460259,355030811000150,3550308005121,11,BRASILANDIA,3,FREGUESIA / BRASILANDIA,Norte,Norte 1,PARQUE TIETE,6084-4,RUA SAO FRANCISCO DO HUMAITA,,PQ TIETE,TV AV GENERAL PENHA BRASIL
485,-46.730398,-23.579450,355030812000017,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VILA GOMES,6085-2,RUA PEREIRA DO LAGO,19.000000,VL GOMES,RV RAPOSO TAVARES KM 12
300,-46.473593,-23.512231,355030887000127,3550308005195,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,ITAPOA,6086-0,RUA OLEGARIO MACIEL,45.000000,JD SAO CARLOS,EL REY E POEMA E TROVA
462,-46.481746,-23.504699,355030828000057,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,PARQUE BOTURUSSU,6087-9,RUA DARIO COSTA MATOS,1414.000000,ERMELINO MATARAZZO,P.FINAL ONIBUS JD.S.CARLOS
